locatie_id,latitude,longitude,verkeersintensiteit,meet_richting,meetpaal_id
PFR07_101639_N392_W,53.02352,6.001767,420.0,,PFR07_101639_N392_W
PFR07_101640_N392_NW,53.012466,6.033091,720.0,,PFR07_101640_N392_NW
PFR07_101640_N392_ZO,53.012466,6.033091,720.0,,PFR07_101640_N392_ZO
PFR07_101641_N393_O,53.27824,5.681233,360.0,,PFR07_101641_N393_O
PFR07_101641_N393_W,53.27824,5.681233,240.0,,PFR07_101641_N393_W
PFR07_101642_N393_NO,53.246788,5.580626,300.0,,PFR07_101642_N393_NO
PFR07_101642_N393_ZW,53.246788,5.580626,300.0,,PFR07_101642_N393_ZW
PFR07_101643_N393_N,53.189236,5.440958,360.0,,PFR07_101643_N393_N
PFR07_101643_N393_Z,53.189236,5.440958,420.0,,PFR07_101643_N393_Z
PFR07_101644_N398_N,53.258045,5.724638,720.0,,PFR07_101644_N398_N
PFR07_101644_N398_Z,53.258045,5.724638,360.0,,PFR07_101644_N398_Z
PFR07_101645_N910_NW,53.30868,6.057164,420.0,,PFR07_101645_N910_NW
PFR07_101645_N910_ZO,53.30868,6.057164,360.0,,PFR07_101645_N910_ZO
PFR07_101646_N910_NW,53.270317,6.155663,240.0,,PFR07_101646_N910_NW
PFR07_101646_N910_ZO,53.270317,6.155663,240.0,,PFR07_101646_N910_ZO
PFR07_101647_N913_NO,53.17315,5.969396,660.0,,PFR07_101647_N913_NO
PFR07_101647_N913_ZW,53.17315,5.969396,420.0,,PFR07_101647_N913_ZW
PFR07_101648_N917_O,53.09502,6.18753,420.0,,PFR07_101648_N917_O
PFR07_101648_N917_W,53.09502,6.18753,420.0,,PFR07_101648_N917_W
PFR07_101649_N919_N,53.004387,6.303276,600.0,,PFR07_101649_N919_N
PFR07_101649_N919_Z,53.004387,6.303276,480.0,,PFR07_101649_N919_Z
PFR07_101650_N924_O,52.942184,5.912119,360.0,,PFR07_101650_N924_O
PFR07_101650_N924_W,52.942184,5.912119,660.0,,PFR07_101650_N924_W
PFR07_101651_N927_O,52.916313,5.759998,480.0,,PFR07_101651_N927_O
PFR07_101651_N927_W,52.916313,5.759998,480.0,,PFR07_101651_N927_W
PFR07_101652_N924_O,52.8717,5.752365,600.0,,PFR07_101652_N924_O
PFR07_101652_N924_W,52.8717,5.752365,660.0,,PFR07_101652_N924_W
PFR07_101653_N928_NO,52.9341,5.608023,480.0,,PFR07_101653_N928_NO
PFR07_101653_N928_ZW,52.9341,5.608023,420.0,,PFR07_101653_N928_ZW
PFR07_101654_N355_O,53.217949,5.916263,960.0,,PFR07_101654_N355_O
PFR07_101654_N355_W,53.218062,5.916248,960.0,,PFR07_101654_N355_W
PFR07_101655_N355_O,53.222623,5.943802,900.0,,PFR07_101655_N355_O
PFR07_101655_N355_W,53.222719,5.943744,720.0,,PFR07_101655_N355_W
PFR07_101656_JSTRWG_O,52.9553134,5.8523301,240.0,,PFR07_101656_JSTRWG_O
PFR07_101656_JSTRWG_W,52.9553134,5.8523301,60.0,,PFR07_101656_JSTRWG_W
PFR07_101657_TRMW_N,52.9758408,5.7544414,180.0,,PFR07_101657_TRMW_N
PFR07_101657_TRMW_Z,52.9758408,5.7544414,240.0,,PFR07_101657_TRMW_Z
PFR07_633L_N381_N,52.94331,6.319444,840.0,,PFR07_633L_N381_N
PFR07_633R_N381_Z,52.943315,6.319362,780.0,,PFR07_633R_N381_Z
PFR07_656L_N351_O,52.97406,6.28611,540.0,,PFR07_656L_N351_O
PFR07_656R_N351_W,52.97339,6.28154,660.0,,PFR07_656R_N351_W
PFR07_657L_N353_Z,52.88581,6.14399,360.0,,PFR07_657L_N353_Z
PFR07_657R_N353_N,52.88562,6.14375,360.0,,PFR07_657R_N353_N
PFR07_658L_N354_N,52.9568,5.65264,840.0,,PFR07_658L_N354_N
PFR07_658R_N354_Z,52.95704,5.65246,540.0,,PFR07_658R_N354_Z
PFR07_659L_N354_N,52.94078,5.65533,540.0,,PFR07_659L_N354_N
PFR07_659R_N354_Z,52.93784,5.65662,480.0,,PFR07_659R_N354_Z
PFR07_660L_N354_NW,52.89821,5.72163,540.0,,PFR07_660L_N354_NW
PFR07_660R_N354_ZO,52.89915,5.71988,240.0,,PFR07_660R_N354_ZO
PFR07_661L_N355_NW,53.220364,5.977077,480.0,,PFR07_661L_N355_NW
PFR07_661R_N355_ZO,53.220293,5.977007,840.0,,PFR07_661R_N355_ZO
PFR07_662L_N355_ZW,53.23595,6.09487,720.0,,PFR07_662L_N355_ZW
PFR07_662R_N355_NO,53.23587,6.09488,420.0,,PFR07_662R_N355_NO
PFR07_663L_N356_N,53.37058,5.89473,240.0,,PFR07_663L_N356_N
PFR07_663R_N356_Z,53.37061,5.89461,180.0,,PFR07_663R_N356_Z
PFR07_664L_N358_NO,53.29997,6.13515,240.0,,PFR07_664L_N358_NO
PFR07_664R_N358_ZW,53.30049,6.13802,300.0,,PFR07_664R_N358_ZW
PFR07_665L_N358_W,53.2421,6.15483,540.0,,PFR07_665L_N358_W
PFR07_665R_N358_O,53.242,6.15487,960.0,,PFR07_665R_N358_O
PFR07_666L_N358_N,53.16923,6.17955,0.0,,PFR07_666L_N358_N
PFR07_666R_N358_Z,53.16927,6.17947,0.0,,PFR07_666R_N358_Z
PFR07_667L_N358_NW,53.13209,6.18176,840.0,,PFR07_667L_N358_NW
PFR07_667R_N358_ZO,53.13196,6.18179,540.0,,PFR07_667R_N358_ZO
PFR07_668L_N359_O,52.8493,5.70938,1020.0,,PFR07_668L_N359_O
PFR07_668R_N359_W,52.84939,5.70954,1020.0,,PFR07_668R_N359_W
PFR07_669L_N359_ZO,52.89456,5.47199,720.0,,PFR07_669L_N359_ZO
PFR07_669R_N359_NW,52.89344,5.47421,540.0,,PFR07_669R_N359_NW
PFR07_670L_N359_Z,52.95585,5.43077,780.0,,PFR07_670L_N359_Z
PFR07_670R_N359_N,52.95839,5.43089,540.0,,PFR07_670R_N359_N
PFR07_671L_N361_O,53.31108,6.01611,600.0,,PFR07_671L_N361_O
PFR07_671R_N361_W,53.31118,6.01618,720.0,,PFR07_671R_N361_W
PFR07_672L_N369_W,53.13927,6.09155,1020.0,,PFR07_672L_N369_W
PFR07_672R_N369_O,53.13956,6.09346,1020.0,,PFR07_672R_N369_O
PFR07_673L_N369_Z,53.17304,6.11838,660.0,,PFR07_673L_N369_Z
PFR07_673R_N369_N,53.17301,6.11855,1140.0,,PFR07_673R_N369_N
PFR07_674L_N381_N,53.003189,6.229145,1080.0,,PFR07_674L_N381_N
PFR07_674R_N381_Z,53.005508,6.228724,720.0,,PFR07_674R_N381_Z
PFR07_675L_N383_ZO,53.21789,5.70683,960.0,,PFR07_675L_N383_ZO
